"pubid","year","interestgov","regvote","didvote"
117,2004,4,NA,0
117,2006,3,0,0
117,2008,3,0,0
117,2010,4,0,0
118,2004,2,NA,1
118,2006,4,1,0
118,2008,2,NA,1
118,2010,NA,NA,NA
119,2004,NA,NA,NA
119,2006,NA,NA,NA
119,2008,NA,NA,NA
119,2010,NA,NA,NA
120,2004,NA,NA,NA
120,2006,NA,NA,NA
120,2008,NA,NA,NA
120,2010,NA,NA,NA
121,2004,2,0,0
121,2006,NA,NA,NA
121,2008,2,NA,1
121,2010,NA,NA,NA
122,2004,2,0,0
122,2006,2,0,0
122,2008,1,1,NA
122,2010,1,NA,1
123,2004,NA,NA,NA
123,2006,NA,NA,NA
123,2008,NA,NA,NA
123,2010,NA,NA,NA
124,2004,NA,NA,NA
124,2006,NA,NA,NA
124,2008,NA,NA,NA
124,2010,NA,NA,NA
125,2004,2,1,0
125,2006,NA,NA,NA
125,2008,NA,NA,NA
125,2010,NA,NA,NA
126,2004,4,0,0
126,2006,4,0,0
126,2008,4,0,NA
126,2010,3,0,0
127,2004,3,0,0
127,2006,3,0,NA
127,2008,2,1,0
127,2010,3,1,0
128,2004,3,0,0
128,2006,3,0,0
128,2008,2,0,0
128,2010,3,0,0
129,2004,3,0,0
129,2006,NA,NA,NA
129,2008,NA,NA,NA
129,2010,NA,NA,NA
130,2004,NA,NA,NA
130,2006,NA,NA,NA
130,2008,2,NA,1
130,2010,NA,NA,NA
131,2004,NA,NA,NA
131,2006,NA,NA,NA
131,2008,NA,NA,NA
131,2010,NA,NA,NA
132,2004,NA,NA,NA
132,2006,4,1,0
132,2008,4,NA,1
132,2010,3,NA,1
133,2004,NA,NA,NA
133,2006,NA,NA,NA
133,2008,2,0,0
133,2010,3,0,0
134,2004,3,0,0
134,2006,NA,NA,NA
134,2008,NA,NA,NA
134,2010,NA,NA,NA
135,2004,1,NA,1
135,2006,1,0,NA
135,2008,1,1,NA
135,2010,1,NA,1
136,2004,2,NA,1
136,2006,2,NA,1
136,2008,1,NA,1
136,2010,NA,NA,NA
137,2004,2,NA,1
137,2006,4,1,NA
137,2008,4,1,NA
137,2010,4,1,NA
138,2004,2,1,0
138,2006,1,NA,1
138,2008,1,1,NA
138,2010,1,0,NA
139,2004,NA,NA,NA
139,2006,NA,NA,NA
139,2008,NA,NA,NA
139,2010,NA,NA,NA
140,2004,NA,NA,NA
140,2006,NA,NA,NA
140,2008,2,NA,1
140,2010,NA,NA,NA
141,2004,NA,NA,NA
141,2006,NA,NA,NA
141,2008,NA,NA,NA
141,2010,NA,NA,NA
142,2004,NA,NA,NA
142,2006,NA,NA,NA
142,2008,NA,NA,NA
142,2010,4,NA,1
143,2004,NA,NA,NA
143,2006,1,1,0
143,2008,1,NA,1
143,2010,1,NA,1
144,2004,3,1,0
144,2006,3,1,0
144,2008,3,1,NA
144,2010,2,NA,1
145,2004,3,NA,1
145,2006,3,0,0
145,2008,1,1,NA
145,2010,2,1,NA
146,2004,2,0,0
146,2006,2,1,0
146,2008,3,0,0
146,2010,3,0,0
147,2004,4,0,0
147,2006,4,0,NA
147,2008,4,0,0
147,2010,4,0,0
148,2004,3,NA,0
148,2006,3,NA,1
148,2008,2,NA,1
148,2010,4,NA,1
149,2004,3,NA,1
149,2006,2,NA,1
149,2008,3,1,NA
149,2010,2,0,NA
150,2004,2,NA,1
150,2006,2,NA,1
150,2008,1,1,NA
150,2010,2,NA,1
151,2004,3,NA,1
151,2006,3,NA,NA
151,2008,2,1,NA
151,2010,2,NA,1
152,2004,NA,NA,NA
152,2006,1,1,0
152,2008,1,1,NA
152,2010,1,1,0
153,2004,4,NA,1
153,2006,4,NA,1
153,2008,4,NA,1
153,2010,4,NA,1
154,2004,NA,NA,NA
154,2006,NA,NA,NA
154,2008,NA,NA,NA
154,2010,NA,NA,NA
155,2004,1,NA,1
155,2006,1,1,NA
155,2008,1,NA,1
155,2010,1,NA,1
156,2004,2,NA,1
156,2006,2,NA,1
156,2008,1,1,NA
156,2010,2,1,0
157,2004,3,NA,1
157,2006,2,NA,1
157,2008,2,1,NA
157,2010,3,1,NA
158,2004,3,NA,1
158,2006,4,NA,1
158,2008,4,1,NA
158,2010,4,1,0
159,2004,4,NA,1
159,2006,4,NA,1
159,2008,1,1,NA
159,2010,2,1,NA
160,2004,2,0,0
160,2006,1,0,0
160,2008,1,NA,1
160,2010,1,1,NA
161,2004,2,1,0
161,2006,4,0,0
161,2008,NA,NA,NA
161,2010,1,0,0
162,2004,1,NA,1
162,2006,1,NA,1
162,2008,1,NA,1
162,2010,1,NA,1
163,2004,NA,NA,NA
163,2006,2,NA,0
163,2008,NA,NA,NA
163,2010,2,0,0
164,2004,2,0,0
164,2006,1,0,NA
164,2008,1,0,NA
164,2010,3,0,NA
165,2004,3,1,0
165,2006,2,1,0
165,2008,2,1,NA
165,2010,2,1,0
166,2004,3,NA,1
166,2006,4,1,NA
166,2008,4,1,NA
166,2010,4,1,NA
167,2004,4,NA,0
167,2006,4,1,0
167,2008,4,NA,0
167,2010,4,0,NA
168,2004,2,NA,1
168,2006,3,NA,1
168,2008,2,NA,1
168,2010,3,1,NA
169,2004,2,0,0
169,2006,3,1,0
169,2008,1,NA,0
169,2010,3,1,0
170,2004,2,NA,1
170,2006,4,1,0
170,2008,4,NA,1
170,2010,4,1,0
171,2004,2,NA,1
171,2006,2,1,0
171,2008,2,1,NA
171,2010,2,0,0
172,2004,NA,NA,NA
172,2006,NA,NA,NA
172,2008,NA,NA,NA
172,2010,NA,NA,NA
173,2004,NA,NA,NA
173,2006,NA,NA,NA
173,2008,NA,NA,NA
173,2010,NA,NA,NA
174,2004,NA,NA,NA
174,2006,NA,NA,NA
174,2008,NA,NA,NA
174,2010,NA,NA,NA
175,2004,NA,NA,NA
175,2006,1,NA,1
175,2008,1,NA,1
175,2010,NA,NA,NA
176,2004,3,NA,1
176,2006,3,1,NA
176,2008,3,NA,1
176,2010,3,1,NA
177,2004,4,NA,1
177,2006,4,1,NA
177,2008,4,NA,1
177,2010,4,1,NA
178,2004,2,NA,1
178,2006,3,NA,1
178,2008,NA,NA,NA
178,2010,2,NA,1
179,2004,NA,NA,NA
179,2006,NA,NA,NA
179,2008,NA,NA,NA
179,2010,NA,NA,NA
180,2004,1,NA,1
180,2006,1,1,0
180,2008,NA,NA,NA
180,2010,2,1,NA
181,2004,1,NA,1
181,2006,1,NA,1
181,2008,1,NA,1
181,2010,2,NA,1
182,2004,1,NA,1
182,2006,1,NA,1
182,2008,1,1,NA
182,2010,1,NA,1
183,2004,2,1,0
183,2006,3,NA,1
183,2008,2,1,NA
183,2010,2,1,NA
184,2004,2,0,0
184,2006,2,0,0
184,2008,1,0,NA
184,2010,NA,NA,NA
185,2004,3,1,0
185,2006,4,1,0
185,2008,4,0,0
185,2010,3,0,0
186,2004,NA,NA,NA
186,2006,NA,NA,NA
186,2008,NA,NA,NA
186,2010,NA,NA,NA
187,2004,1,NA,1
187,2006,1,1,NA
187,2008,1,1,NA
187,2010,1,1,0
188,2004,4,1,0
188,2006,NA,NA,NA
188,2008,NA,NA,NA
188,2010,NA,NA,NA
189,2004,NA,NA,NA
189,2006,NA,NA,NA
189,2008,NA,NA,NA
189,2010,NA,NA,NA
190,2004,3,1,0
190,2006,NA,NA,NA
190,2008,2,1,0
190,2010,2,1,0
191,2004,4,NA,1
191,2006,2,NA,1
191,2008,3,0,0
191,2010,4,0,0
192,2004,2,NA,1
192,2006,2,1,0
192,2008,2,NA,1
192,2010,2,0,0
193,2004,2,NA,1
193,2006,3,1,0
193,2008,2,1,NA
193,2010,2,NA,1
194,2004,3,0,0
194,2006,3,1,0
194,2008,2,1,NA
194,2010,3,1,NA
195,2004,2,NA,1
195,2006,3,0,NA
195,2008,4,0,NA
195,2010,1,1,0
196,2004,NA,NA,NA
196,2006,NA,NA,NA
196,2008,NA,NA,NA
196,2010,NA,NA,NA
197,2004,NA,NA,NA
197,2006,NA,NA,NA
197,2008,NA,NA,NA
197,2010,NA,NA,NA
198,2004,4,0,0
198,2006,2,0,0
198,2008,2,1,NA
198,2010,4,0,NA
199,2004,2,NA,1
199,2006,2,NA,1
199,2008,1,1,NA
199,2010,2,NA,1
200,2004,4,NA,1
200,2006,NA,NA,NA
200,2008,4,NA,1
200,2010,4,1,0
201,2004,2,NA,1
201,2006,2,0,NA
201,2008,4,0,NA
201,2010,4,NA,1
202,2004,3,0,0
202,2006,4,NA,0
202,2008,2,0,NA
202,2010,3,0,0
203,2004,1,NA,1
203,2006,2,1,NA
203,2008,4,0,NA
203,2010,4,0,0
204,2004,2,NA,1
204,2006,2,NA,1
204,2008,2,1,NA
204,2010,2,1,NA
205,2004,2,0,0
205,2006,2,0,0
205,2008,1,1,0
205,2010,NA,NA,NA
206,2004,2,NA,1
206,2006,1,1,NA
206,2008,NA,NA,NA
206,2010,2,0,0
207,2004,2,0,0
207,2006,NA,NA,NA
207,2008,NA,NA,NA
207,2010,NA,NA,NA
208,2004,4,1,0
208,2006,NA,NA,NA
208,2008,NA,NA,NA
208,2010,NA,NA,NA
209,2004,4,0,0
209,2006,NA,NA,NA
209,2008,NA,NA,NA
209,2010,NA,NA,NA
210,2004,4,0,0
210,2006,4,0,0
210,2008,NA,NA,NA
210,2010,NA,NA,NA
211,2004,2,NA,1
211,2006,3,NA,1
211,2008,NA,1,0
211,2010,4,1,0
212,2004,2,NA,0
212,2006,2,0,0
212,2008,2,0,NA
212,2010,2,0,0
213,2004,1,NA,0
213,2006,2,0,0
213,2008,1,1,NA
213,2010,3,0,0
214,2004,2,0,0
214,2006,2,1,0
214,2008,2,NA,1
214,2010,1,NA,1
215,2004,2,NA,0
215,2006,2,0,0
215,2008,2,NA,0
215,2010,2,NA,0
216,2004,2,NA,1
216,2006,4,1,NA
216,2008,1,NA,1
216,2010,2,NA,1
217,2004,NA,NA,NA
217,2006,2,NA,0
217,2008,2,1,NA
217,2010,NA,NA,NA
218,2004,NA,NA,NA
218,2006,NA,NA,NA
218,2008,NA,NA,NA
218,2010,NA,NA,NA
219,2004,1,1,0
219,2006,1,NA,1
219,2008,1,NA,1
219,2010,2,NA,1
220,2004,2,NA,1
220,2006,NA,NA,NA
220,2008,NA,NA,NA
220,2010,NA,NA,NA
221,2004,4,NA,1
221,2006,3,1,0
221,2008,2,0,0
221,2010,2,0,0
222,2004,2,NA,1
222,2006,3,0,0
222,2008,3,NA,1
222,2010,3,NA,1
223,2004,1,NA,1
223,2006,2,NA,1
223,2008,2,NA,1
223,2010,1,NA,1
224,2004,3,0,0
224,2006,3,0,0
224,2008,3,0,NA
224,2010,2,0,0
225,2004,3,1,0
225,2006,3,1,0
225,2008,3,1,NA
225,2010,2,1,0
226,2004,4,NA,1
226,2006,4,1,NA
226,2008,NA,NA,NA
226,2010,4,1,0
227,2004,4,0,0
227,2006,4,0,0
227,2008,4,0,0
227,2010,2,0,0
228,2004,2,NA,0
228,2006,1,0,0
228,2008,1,1,0
228,2010,2,NA,1
229,2004,4,1,0
229,2006,4,1,0
229,2008,4,1,0
229,2010,4,1,NA
230,2004,1,NA,1
230,2006,1,1,NA
230,2008,1,1,NA
230,2010,3,1,NA
231,2004,3,NA,1
231,2006,2,NA,1
231,2008,4,0,0
231,2010,4,1,NA
232,2004,NA,NA,NA
232,2006,3,NA,1
232,2008,2,NA,1
232,2010,3,1,NA
233,2004,2,0,0
233,2006,2,1,0
233,2008,1,0,NA
233,2010,2,NA,0
234,2004,4,0,0
234,2006,3,0,0
234,2008,3,NA,1
234,2010,4,1,0
235,2004,2,0,0
235,2006,2,0,0
235,2008,2,0,0
235,2010,3,0,NA
236,2004,3,NA,1
236,2006,4,NA,1
236,2008,4,0,0
236,2010,4,0,0
237,2004,2,NA,1
237,2006,2,NA,1
237,2008,2,NA,1
237,2010,2,NA,1
238,2004,2,NA,0
238,2006,2,0,0
238,2008,2,0,NA
238,2010,2,0,NA
239,2004,1,NA,1
239,2006,1,NA,1
239,2008,1,NA,1
239,2010,1,1,NA
240,2004,3,NA,0
240,2006,3,0,0
240,2008,2,1,NA
240,2010,3,1,NA
241,2004,3,NA,1
241,2006,3,NA,1
241,2008,3,NA,1
241,2010,3,NA,1
242,2004,2,NA,1
242,2006,1,1,NA
242,2008,1,NA,1
242,2010,1,NA,1
243,2004,4,NA,0
243,2006,3,NA,0
243,2008,2,NA,0
243,2010,3,0,0
244,2004,3,0,0
244,2006,2,1,0
244,2008,2,NA,NA
244,2010,4,0,0
245,2004,2,NA,1
245,2006,1,NA,1
245,2008,1,NA,1
245,2010,2,NA,1
246,2004,4,1,0
246,2006,NA,NA,NA
246,2008,4,NA,1
246,2010,3,0,0
247,2004,1,1,0
247,2006,4,0,0
247,2008,3,0,0
247,2010,4,0,0
248,2004,1,NA,1
248,2006,1,NA,1
248,2008,1,1,NA
248,2010,2,1,NA
249,2004,NA,NA,NA
249,2006,NA,NA,NA
249,2008,NA,NA,NA
249,2010,NA,NA,NA
250,2004,3,NA,0
250,2006,NA,NA,NA
250,2008,NA,NA,NA
250,2010,NA,NA,NA
251,2004,2,NA,1
251,2006,2,1,0
251,2008,2,1,NA
251,2010,2,1,NA
252,2004,4,0,0
252,2006,4,0,0
252,2008,4,0,0
252,2010,4,0,0
253,2004,NA,NA,NA
253,2006,NA,NA,NA
253,2008,NA,NA,NA
253,2010,NA,NA,NA
254,2004,2,0,0
254,2006,2,0,0
254,2008,1,1,NA
254,2010,1,1,0
255,2004,NA,NA,NA
